title,genres,director,cast,vote_average,metadata
Pirates of the Caribbean: On Stranger Tides,Adventure|Action|Fantasy,Rob Marshall,Johnny Depp|Penélope Cruz|Ian McShane,6.4,Adventure|Action|Fantasy Rob Marshall Johnny Depp|Penélope Cruz|Ian McShane
Men in Black 3,Action|Comedy|Science Fiction,Barry Sonnenfeld,Will Smith|Tommy Lee Jones|Josh Brolin,6.2,Action|Comedy|Science Fiction Barry Sonnenfeld Will Smith|Tommy Lee Jones|Josh Brolin
The Hobbit: The Battle of the Five Armies,Action|Adventure|Fantasy,Peter Jackson,Martin Freeman|Ian McKellen|Richard Armitage,7.1,Action|Adventure|Fantasy Peter Jackson Martin Freeman|Ian McKellen|Richard Armitage
The Amazing Spider-Man,Action|Adventure|Fantasy,Marc Webb,Andrew Garfield|Emma Stone|Rhys Ifans,6.5,Action|Adventure|Fantasy Marc Webb Andrew Garfield|Emma Stone|Rhys Ifans
Robin Hood,Action|Adventure,Ridley Scott,Russell Crowe|Cate Blanchett|Max von Sydow,6.2,Action|Adventure Ridley Scott Russell Crowe|Cate Blanchett|Max von Sydow
The Hobbit: The Desolation of Smaug,Adventure|Fantasy,Peter Jackson,Martin Freeman|Ian McKellen|Richard Armitage,7.6,Adventure|Fantasy Peter Jackson Martin Freeman|Ian McKellen|Richard Armitage
The Golden Compass,Adventure|Fantasy,Chris Weitz,Dakota Blue Richards|Nicole Kidman|Daniel Craig,5.8,Adventure|Fantasy Chris Weitz Dakota Blue Richards|Nicole Kidman|Daniel Craig
King Kong,Adventure|Drama|Action,Peter Jackson,Naomi Watts|Jack Black|Adrien Brody,6.6,Adventure|Drama|Action Peter Jackson Naomi Watts|Jack Black|Adrien Brody
Titanic,Drama|Romance|Thriller,James Cameron,Kate Winslet|Leonardo DiCaprio|Frances Fisher,7.5,Drama|Romance|Thriller James Cameron Kate Winslet|Leonardo DiCaprio|Frances Fisher
Captain America: Civil War,Adventure|Action|Science Fiction,Anthony Russo,Chris Evans|Robert Downey Jr.|Scarlett Johansson,7.1,Adventure|Action|Science Fiction Anthony Russo Chris Evans|Robert Downey Jr.|Scarlett Johansson
Battleship,Thriller|Action|Adventure|Science Fiction,Peter Berg,Taylor Kitsch|Alexander Skarsgård|Rihanna,5.5,Thriller|Action|Adventure|Science Fiction Peter Berg Taylor Kitsch|Alexander Skarsgård|Rihanna
Jurassic World,Action|Adventure|Science Fiction|Thriller,Colin Trevorrow,Chris Pratt|Bryce Dallas Howard|Irrfan Khan,6.5,Action|Adventure|Science Fiction|Thriller Colin Trevorrow Chris Pratt|Bryce Dallas Howard|Irrfan Khan
Skyfall,Action|Adventure|Thriller,Sam Mendes,Daniel Craig|Judi Dench|Javier Bardem,6.9,Action|Adventure|Thriller Sam Mendes Daniel Craig|Judi Dench|Javier Bardem
Spider-Man 2,Action|Adventure|Fantasy,Sam Raimi,Tobey Maguire|Kirsten Dunst|James Franco,6.7,Action|Adventure|Fantasy Sam Raimi Tobey Maguire|Kirsten Dunst|James Franco
Iron Man 3,Action|Adventure|Science Fiction,Shane Black,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle,6.8,Action|Adventure|Science Fiction Shane Black Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle
Alice in Wonderland,Family|Fantasy|Adventure,Tim Burton,Mia Wasikowska|Johnny Depp|Anne Hathaway,6.4,Family|Fantasy|Adventure Tim Burton Mia Wasikowska|Johnny Depp|Anne Hathaway
X-Men: The Last Stand,Adventure|Action|Science Fiction|Thriller,Brett Ratner,Hugh Jackman|Halle Berry|Ian McKellen,6.3,Adventure|Action|Science Fiction|Thriller Brett Ratner Hugh Jackman|Halle Berry|Ian McKellen
Monsters University,Animation|Family,Dan Scanlon,Billy Crystal|John Goodman|Steve Buscemi,7.0,Animation|Family Dan Scanlon Billy Crystal|John Goodman|Steve Buscemi
Transformers: Revenge of the Fallen,Science Fiction|Action|Adventure,Michael Bay,Shia LaBeouf|Megan Fox|Josh Duhamel,6.0,Science Fiction|Action|Adventure Michael Bay Shia LaBeouf|Megan Fox|Josh Duhamel
Transformers: Age of Extinction,Science Fiction|Action|Adventure,Michael Bay,Mark Wahlberg|Stanley Tucci|Kelsey Grammer,5.8,Science Fiction|Action|Adventure Michael Bay Mark Wahlberg|Stanley Tucci|Kelsey Grammer
Oz: The Great and Powerful,Fantasy|Adventure|Family,Sam Raimi,James Franco|Mila Kunis|Rachel Weisz,5.7,Fantasy|Adventure|Family Sam Raimi James Franco|Mila Kunis|Rachel Weisz
The Amazing Spider-Man 2,Action|Adventure|Fantasy,Marc Webb,Andrew Garfield|Emma Stone|Jamie Foxx,6.5,Action|Adventure|Fantasy Marc Webb Andrew Garfield|Emma Stone|Jamie Foxx
TRON: Legacy,Adventure|Action|Science Fiction,Joseph Kosinski,Garrett Hedlund|Jeff Bridges|Olivia Wilde,6.3,Adventure|Action|Science Fiction Joseph Kosinski Garrett Hedlund|Jeff Bridges|Olivia Wilde
Cars 2,Animation|Family|Adventure|Comedy,John Lasseter,Owen Wilson|Larry the Cable Guy|Michael Caine,5.8,Animation|Family|Adventure|Comedy John Lasseter Owen Wilson|Larry the Cable Guy|Michael Caine
Green Lantern,Adventure|Action|Thriller|Science Fiction,Martin Campbell,Ryan Reynolds|Blake Lively|Peter Sarsgaard,5.1,Adventure|Action|Thriller|Science Fiction Martin Campbell Ryan Reynolds|Blake Lively|Peter Sarsgaard
Toy Story 3,Animation|Family|Comedy,Lee Unkrich,Tom Hanks|Tim Allen|Ned Beatty,7.6,Animation|Family|Comedy Lee Unkrich Tom Hanks|Tim Allen|Ned Beatty
Terminator Salvation,Action|Science Fiction|Thriller,McG,Christian Bale|Sam Worthington|Anton Yelchin,5.9,Action|Science Fiction|Thriller McG Christian Bale|Sam Worthington|Anton Yelchin
Furious 7,Action,James Wan,Vin Diesel|Paul Walker|Dwayne Johnson,7.3,Action James Wan Vin Diesel|Paul Walker|Dwayne Johnson
World War Z,Action|Drama|Horror|Science Fiction|Thriller,Marc Forster,Brad Pitt|Mireille Enos|Abigail Hargrove,6.7,Action|Drama|Horror|Science Fiction|Thriller Marc Forster Brad Pitt|Mireille Enos|Abigail Hargrove
X-Men: Days of Future Past,Action|Adventure|Fantasy|Science Fiction,Bryan Singer,Hugh Jackman|James McAvoy|Michael Fassbender,7.5,Action|Adventure|Fantasy|Science Fiction Bryan Singer Hugh Jackman|James McAvoy|Michael Fassbender
Star Trek Into Darkness,Action|Adventure|Science Fiction,J.J. Abrams,Chris Pine|Zachary Quinto|Zoe Saldana,7.4,Action|Adventure|Science Fiction J.J. Abrams Chris Pine|Zachary Quinto|Zoe Saldana
Jack the Giant Slayer,Action|Family|Fantasy,Bryan Singer,Nicholas Hoult|Eleanor Tomlinson|Ewan McGregor,5.5,Action|Family|Fantasy Bryan Singer Nicholas Hoult|Eleanor Tomlinson|Ewan McGregor
The Great Gatsby,Drama|Romance,Baz Luhrmann,Leonardo DiCaprio|Tobey Maguire|Carey Mulligan,7.3,Drama|Romance Baz Luhrmann Leonardo DiCaprio|Tobey Maguire|Carey Mulligan
Prince of Persia: The Sands of Time,Adventure|Fantasy|Action|Romance,Mike Newell,Jake Gyllenhaal|Gemma Arterton|Ben Kingsley,6.2,Adventure|Fantasy|Action|Romance Mike Newell Jake Gyllenhaal|Gemma Arterton|Ben Kingsley
Pacific Rim,Action|Science Fiction|Adventure,Guillermo del Toro,Idris Elba|Charlie Hunnam|Charlie Day,6.7,Action|Science Fiction|Adventure Guillermo del Toro Idris Elba|Charlie Hunnam|Charlie Day
Transformers: Dark of the Moon,Action|Science Fiction|Adventure,Michael Bay,Shia LaBeouf|John Malkovich|Ken Jeong,6.1,Action|Science Fiction|Adventure Michael Bay Shia LaBeouf|John Malkovich|Ken Jeong
Indiana Jones and the Kingdom of the Crystal Skull,Adventure|Action,Steven Spielberg,Harrison Ford|Cate Blanchett|Shia LaBeouf,5.7,Adventure|Action Steven Spielberg Harrison Ford|Cate Blanchett|Shia LaBeouf
The Good Dinosaur,Adventure|Animation|Family,Peter Sohn,Raymond Ochoa|Jack Bright|Jeffrey Wright,6.6,Adventure|Animation|Family Peter Sohn Raymond Ochoa|Jack Bright|Jeffrey Wright
Brave,Animation|Adventure|Comedy|Family|Action|Fantasy,Brenda Chapman,Kelly Macdonald|Julie Walters|Billy Connolly,6.7,Animation|Adventure|Comedy|Family|Action|Fantasy Brenda Chapman Kelly Macdonald|Julie Walters|Billy Connolly
Star Trek Beyond,Action|Adventure|Science Fiction,Justin Lin,Chris Pine|Zachary Quinto|Karl Urban,6.6,Action|Adventure|Science Fiction Justin Lin Chris Pine|Zachary Quinto|Karl Urban
WALL·E,Animation|Family,Andrew Stanton,Ben Burtt|Elissa Knight|Jeff Garlin,7.8,Animation|Family Andrew Stanton Ben Burtt|Elissa Knight|Jeff Garlin
Rush Hour 3,Action|Comedy|Crime|Thriller,Brett Ratner,Chris Tucker|Jackie Chan|Hiroyuki Sanada,6.1,Action|Comedy|Crime|Thriller Brett Ratner Chris Tucker|Jackie Chan|Hiroyuki Sanada
2012,Action|Adventure|Science Fiction,Roland Emmerich,John Cusack|Amanda Peet|Chiwetel Ejiofor,5.6,Action|Adventure|Science Fiction Roland Emmerich John Cusack|Amanda Peet|Chiwetel Ejiofor
A Christmas Carol,Animation|Drama,Robert Zemeckis,Gary Oldman|Jim Carrey|Steve Valentine,6.6,Animation|Drama Robert Zemeckis Gary Oldman|Jim Carrey|Steve Valentine
Jupiter Ascending,Science Fiction|Fantasy|Action|Adventure,Lilly Wachowski,Mila Kunis|Channing Tatum|Sean Bean,5.2,Science Fiction|Fantasy|Action|Adventure Lilly Wachowski Mila Kunis|Channing Tatum|Sean Bean
The Legend of Tarzan,Action|Adventure,David Yates,Alexander Skarsgård|Margot Robbie|Christoph Waltz,5.5,Action|Adventure David Yates Alexander Skarsgård|Margot Robbie|Christoph Waltz
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure|Family|Fantasy,Andrew Adamson,William Moseley|Anna Popplewell|Skandar Keynes,6.7,Adventure|Family|Fantasy Andrew Adamson William Moseley|Anna Popplewell|Skandar Keynes
X-Men: Apocalypse,Science Fiction,Bryan Singer,James McAvoy|Michael Fassbender|Jennifer Lawrence,6.4,Science Fiction Bryan Singer James McAvoy|Michael Fassbender|Jennifer Lawrence
The Dark Knight,Drama|Action|Crime|Thriller,Christopher Nolan,Christian Bale|Heath Ledger|Aaron Eckhart,8.2,Drama|Action|Crime|Thriller Christopher Nolan Christian Bale|Heath Ledger|Aaron Eckhart
Up,Animation|Comedy|Family|Adventure,Pete Docter,Ed Asner|Christopher Plummer|Jordan Nagai,7.7,Animation|Comedy|Family|Adventure Pete Docter Ed Asner|Christopher Plummer|Jordan Nagai
Monsters vs Aliens,Animation|Family|Adventure|Science Fiction,Conrad Vernon,Seth Rogen|Reese Witherspoon|Hugh Laurie,6.0,Animation|Family|Adventure|Science Fiction Conrad Vernon Seth Rogen|Reese Witherspoon|Hugh Laurie
Iron Man,Action|Science Fiction|Adventure,Jon Favreau,Robert Downey Jr.|Terrence Howard|Jeff Bridges,7.4,Action|Science Fiction|Adventure Jon Favreau Robert Downey Jr.|Terrence Howard|Jeff Bridges
Hugo,Adventure|Drama|Family,Martin Scorsese,Ben Kingsley|Sacha Baron Cohen|Asa Butterfield,7.0,Adventure|Drama|Family Martin Scorsese Ben Kingsley|Sacha Baron Cohen|Asa Butterfield
Wild Wild West,Action|Adventure|Comedy|Science Fiction|Western,Barry Sonnenfeld,Will Smith|Kevin Kline|Kenneth Branagh,5.1,Action|Adventure|Comedy|Science Fiction|Western Barry Sonnenfeld Will Smith|Kevin Kline|Kenneth Branagh
The Mummy: Tomb of the Dragon Emperor,Adventure|Action|Fantasy,Rob Cohen,Brendan Fraser|Jet Li|John Hannah,5.2,Adventure|Action|Fantasy Rob Cohen Brendan Fraser|Jet Li|John Hannah
Suicide Squad,Action|Adventure|Crime|Fantasy|Science Fiction,David Ayer,Will Smith|Margot Robbie|Joel Kinnaman,5.9,Action|Adventure|Crime|Fantasy|Science Fiction David Ayer Will Smith|Margot Robbie|Joel Kinnaman
Evan Almighty,Fantasy|Comedy|Family,Tom Shadyac,Steve Carell|Lauren Graham|John Goodman,5.3,Fantasy|Comedy|Family Tom Shadyac Steve Carell|Lauren Graham|John Goodman
Edge of Tomorrow,Action|Science Fiction,Doug Liman,Tom Cruise|Emily Blunt|Brendan Gleeson,7.6,Action|Science Fiction Doug Liman Tom Cruise|Emily Blunt|Brendan Gleeson
Waterworld,Adventure|Action,Kevin Reynolds,Kevin Costner|Chaim Girafi|Rick Aviles,5.9,Adventure|Action Kevin Reynolds Kevin Costner|Chaim Girafi|Rick Aviles
G.I. Joe: The Rise of Cobra,Adventure|Action|Thriller|Science Fiction,Stephen Sommers,Dennis Quaid|Channing Tatum|Marlon Wayans,5.6,Adventure|Action|Thriller|Science Fiction Stephen Sommers Dennis Quaid|Channing Tatum|Marlon Wayans
Inside Out,Drama|Comedy|Animation|Family,Pete Docter,Amy Poehler|Phyllis Smith|Richard Kind,8.0,Drama|Comedy|Animation|Family Pete Docter Amy Poehler|Phyllis Smith|Richard Kind
The Jungle Book,Family|Adventure|Drama|Fantasy,Jon Favreau,Neel Sethi|Bill Murray|Ben Kingsley,6.7,Family|Adventure|Drama|Fantasy Jon Favreau Neel Sethi|Bill Murray|Ben Kingsley
Iron Man 2,Adventure|Action|Science Fiction,Jon Favreau,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle,6.6,Adventure|Action|Science Fiction Jon Favreau Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle
Snow White and the Huntsman,Adventure|Fantasy|Drama,Rupert Sanders,Kristen Stewart|Charlize Theron|Chris Hemsworth,5.8,Adventure|Fantasy|Drama Rupert Sanders Kristen Stewart|Charlize Theron|Chris Hemsworth
Maleficent,Fantasy|Adventure|Action|Family|Romance,Robert Stromberg,Angelina Jolie|Elle Fanning|Sharlto Copley,7.0,Fantasy|Adventure|Action|Family|Romance Robert Stromberg Angelina Jolie|Elle Fanning|Sharlto Copley
Dawn of the Planet of the Apes,Science Fiction|Action|Drama|Thriller,Matt Reeves,Andy Serkis|Jason Clarke|Gary Oldman,7.3,Science Fiction|Action|Drama|Thriller Matt Reeves Andy Serkis|Jason Clarke|Gary Oldman
The Lovers,Action|Adventure|Science Fiction|Romance,Roland Joffé,Josh Hartnett|Simone Kessell|Tamsin Egerton,4.8,Action|Adventure|Science Fiction|Romance Roland Joffé Josh Hartnett|Simone Kessell|Tamsin Egerton
47 Ronin,Drama|Action|Adventure|Fantasy,Carl Rinsch,Keanu Reeves|Hiroyuki Sanada|Kou Shibasaki,5.9,Drama|Action|Adventure|Fantasy Carl Rinsch Keanu Reeves|Hiroyuki Sanada|Kou Shibasaki
Captain America: The Winter Soldier,Action|Adventure|Science Fiction,Anthony Russo,Chris Evans|Samuel L. Jackson|Scarlett Johansson,7.6,Action|Adventure|Science Fiction Anthony Russo Chris Evans|Samuel L. Jackson|Scarlett Johansson
Shrek Forever After,Comedy|Adventure|Fantasy|Animation|Family,Mike Mitchell,Mike Myers|Eddie Murphy|Cameron Diaz,6.0,Comedy|Adventure|Fantasy|Animation|Family Mike Mitchell Mike Myers|Eddie Murphy|Cameron Diaz
Tomorrowland,Adventure|Family|Mystery|Science Fiction,Brad Bird,Britt Robertson|George Clooney|Raffey Cassidy,6.2,Adventure|Family|Mystery|Science Fiction Brad Bird Britt Robertson|George Clooney|Raffey Cassidy
Big Hero 6,Adventure|Family|Animation|Action|Comedy,Chris Williams,Scott Adsit|Ryan Potter|Daniel Henney,7.8,Adventure|Family|Animation|Action|Comedy Chris Williams Scott Adsit|Ryan Potter|Daniel Henney
Wreck-It Ralph,Family|Animation|Comedy|Adventure,Rich Moore,John C. Reilly|Sarah Silverman|Jack McBrayer,7.1,Family|Animation|Comedy|Adventure Rich Moore John C. Reilly|Sarah Silverman|Jack McBrayer
The Polar Express,Adventure|Animation|Family|Fantasy,Robert Zemeckis,Tom Hanks|Michael Jeter|Nona Gaye,6.4,Adventure|Animation|Family|Fantasy Robert Zemeckis Tom Hanks|Michael Jeter|Nona Gaye
Independence Day: Resurgence,Action|Adventure|Science Fiction,Roland Emmerich,Liam Hemsworth|Jeff Goldblum|Bill Pullman,4.9,Action|Adventure|Science Fiction Roland Emmerich Liam Hemsworth|Jeff Goldblum|Bill Pullman
How to Train Your Dragon,Fantasy|Adventure|Animation|Family,Chris Sanders,Jay Baruchel|Gerard Butler|Craig Ferguson,7.5,Fantasy|Adventure|Animation|Family Chris Sanders Jay Baruchel|Gerard Butler|Craig Ferguson
Terminator 3: Rise of the Machines,Action|Thriller|Science Fiction,Jonathan Mostow,Arnold Schwarzenegger|Nick Stahl|Claire Danes,5.9,Action|Thriller|Science Fiction Jonathan Mostow Arnold Schwarzenegger|Nick Stahl|Claire Danes
Guardians of the Galaxy,Action|Science Fiction|Adventure,James Gunn,Chris Pratt|Zoe Saldana|Dave Bautista,7.9,Action|Science Fiction|Adventure James Gunn Chris Pratt|Zoe Saldana|Dave Bautista
Interstellar,Adventure|Drama|Science Fiction,Christopher Nolan,Matthew McConaughey|Jessica Chastain|Anne Hathaway,8.1,Adventure|Drama|Science Fiction Christopher Nolan Matthew McConaughey|Jessica Chastain|Anne Hathaway
Inception,Action|Thriller|Science Fiction|Mystery|Adventure,Christopher Nolan,Leonardo DiCaprio|Joseph Gordon-Levitt|Ellen Page,8.1,Action|Thriller|Science Fiction|Mystery|Adventure Christopher Nolan Leonardo DiCaprio|Joseph Gordon-Levitt|Ellen Page
Shin Godzilla,Action|Adventure|Drama|Horror|Science Fiction,Hideaki Anno,Hiroki Hasegawa|Yutaka Takenouchi|Satomi Ishihara,6.5,Action|Adventure|Drama|Horror|Science Fiction Hideaki Anno Hiroki Hasegawa|Yutaka Takenouchi|Satomi Ishihara
The Hobbit: An Unexpected Journey,Adventure|Fantasy|Action,Peter Jackson,Ian McKellen|Martin Freeman|Richard Armitage,7.0,Adventure|Fantasy|Action Peter Jackson Ian McKellen|Martin Freeman|Richard Armitage
The Fast and the Furious,Action|Crime|Thriller,Rob Cohen,Paul Walker|Vin Diesel|Michelle Rodriguez,6.6,Action|Crime|Thriller Rob Cohen Paul Walker|Vin Diesel|Michelle Rodriguez
The Curious Case of Benjamin Button,Fantasy|Drama|Thriller|Mystery|Romance,David Fincher,Cate Blanchett|Brad Pitt|Tilda Swinton,7.3,Fantasy|Drama|Thriller|Mystery|Romance David Fincher Cate Blanchett|Brad Pitt|Tilda Swinton
X-Men: First Class,Action|Science Fiction|Adventure,Matthew Vaughn,James McAvoy|Michael Fassbender|Jennifer Lawrence,7.1,Action|Science Fiction|Adventure Matthew Vaughn James McAvoy|Michael Fassbender|Jennifer Lawrence
The Hunger Games: Mockingjay - Part 2,Action|Adventure|Science Fiction,Francis Lawrence,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth,6.6,Action|Adventure|Science Fiction Francis Lawrence Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth
The Sorcerer's Apprentice,Fantasy|Adventure|Action|Comedy|Drama,Jon Turteltaub,Nicolas Cage|Jay Baruchel|Monica Bellucci,5.8,Fantasy|Adventure|Action|Comedy|Drama Jon Turteltaub Nicolas Cage|Jay Baruchel|Monica Bellucci
Poseidon,Adventure|Action|Drama|Thriller,Wolfgang Petersen,Kurt Russell|Richard Dreyfuss|Josh Lucas,5.5,Adventure|Action|Drama|Thriller Wolfgang Petersen Kurt Russell|Richard Dreyfuss|Josh Lucas
Alice Through the Looking Glass,Fantasy,James Bobin,Johnny Depp|Mia Wasikowska|Anne Hathaway,6.5,Fantasy James Bobin Johnny Depp|Mia Wasikowska|Anne Hathaway
Shrek the Third,Fantasy|Adventure|Animation|Comedy|Family,Chris Miller,Mike Myers|Eddie Murphy|Cameron Diaz,6.0,Fantasy|Adventure|Animation|Comedy|Family Chris Miller Mike Myers|Eddie Murphy|Cameron Diaz
Warcraft,Action|Adventure|Fantasy,Duncan Jones,Paula Patton|Travis Fimmel|Ben Foster,6.3,Action|Adventure|Fantasy Duncan Jones Paula Patton|Travis Fimmel|Ben Foster
Terminator Genisys,Science Fiction|Action|Thriller|Adventure,Alan Taylor,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke,5.8,Science Fiction|Action|Thriller|Adventure Alan Taylor Arnold Schwarzenegger|Jason Clarke|Emilia Clarke
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure|Family|Fantasy,Michael Apted,Skandar Keynes|Georgie Henley|Simon Pegg,6.2,Adventure|Family|Fantasy Michael Apted Skandar Keynes|Georgie Henley|Simon Pegg
Pearl Harbor,History|Romance|War,Michael Bay,Ben Affleck|Josh Hartnett|Kate Beckinsale,6.6,History|Romance|War Michael Bay Ben Affleck|Josh Hartnett|Kate Beckinsale
Transformers,Adventure|Science Fiction|Action,Michael Bay,Shia LaBeouf|Josh Duhamel|Megan Fox,6.6,Adventure|Science Fiction|Action Michael Bay Shia LaBeouf|Josh Duhamel|Megan Fox
Alexander,War|History|Action|Adventure|Drama|Romance,Oliver Stone,Colin Farrell|Angelina Jolie|Val Kilmer,5.6,War|History|Action|Adventure|Drama|Romance Oliver Stone Colin Farrell|Angelina Jolie|Val Kilmer
Harry Potter and the Order of the Phoenix,Adventure|Fantasy|Family|Mystery,David Yates,Daniel Radcliffe|Rupert Grint|Emma Watson,7.4,Adventure|Fantasy|Family|Mystery David Yates Daniel Radcliffe|Rupert Grint|Emma Watson
Harry Potter and the Goblet of Fire,Adventure|Fantasy|Family,Mike Newell,Daniel Radcliffe|Rupert Grint|Emma Watson,7.5,Adventure|Fantasy|Family Mike Newell Daniel Radcliffe|Rupert Grint|Emma Watson
Hancock,Fantasy|Action,Peter Berg,Will Smith|Charlize Theron|Jason Bateman,6.2,Fantasy|Action Peter Berg Will Smith|Charlize Theron|Jason Bateman
I Am Legend,Drama|Horror|Action|Thriller|Science Fiction,Francis Lawrence,Will Smith|Alice Braga|Charlie Tahan,6.9,Drama|Horror|Action|Thriller|Science Fiction Francis Lawrence Will Smith|Alice Braga|Charlie Tahan
Charlie and the Chocolate Factory,Adventure|Comedy|Family|Fantasy,Tim Burton,Johnny Depp|Freddie Highmore|David Kelly,6.7,Adventure|Comedy|Family|Fantasy Tim Burton Johnny Depp|Freddie Highmore|David Kelly
Ratatouille,Animation|Comedy|Family|Fantasy,Jan Pinkava,Patton Oswalt|Ian Holm|Lou Romano,7.5,Animation|Comedy|Family|Fantasy Jan Pinkava Patton Oswalt|Ian Holm|Lou Romano
Batman Begins,Action|Crime|Drama,Christopher Nolan,Christian Bale|Michael Caine|Liam Neeson,7.5,Action|Crime|Drama Christopher Nolan Christian Bale|Michael Caine|Liam Neeson
Madagascar: Escape 2 Africa,Family|Animation,Eric Darnell,Ben Stiller|Jada Pinkett Smith|David Schwimmer,6.2,Family|Animation Eric Darnell Ben Stiller|Jada Pinkett Smith|David Schwimmer
Night at the Museum: Battle of the Smithsonian,Adventure|Fantasy|Action|Comedy|Family,Shawn Levy,Ben Stiller|Amy Adams|Owen Wilson,5.9,Adventure|Fantasy|Action|Comedy|Family Shawn Levy Ben Stiller|Amy Adams|Owen Wilson
X-Men Origins: Wolverine,Adventure|Action|Thriller|Science Fiction,Gavin Hood,Hugh Jackman|Liev Schreiber|Danny Huston,6.2,Adventure|Action|Thriller|Science Fiction Gavin Hood Hugh Jackman|Liev Schreiber|Danny Huston
The Matrix Revolutions,Adventure|Action|Thriller|Science Fiction,Lilly Wachowski,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss,6.4,Adventure|Action|Thriller|Science Fiction Lilly Wachowski Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss
Frozen,Animation|Adventure|Family,Chris Buck,Kristen Bell|Idina Menzel|Jonathan Groff,7.3,Animation|Adventure|Family Chris Buck Kristen Bell|Idina Menzel|Jonathan Groff
